,Time,Author ID,Tweet
105,2019-06-29 17:25:33+00:00,627314264,"RT @emericanlife: #repeal377A #lovewins #Pride #pinkdot #pinkdotsg #singapore @ PARKROYAL on Pickering Hotel, Singapore https://t.co/mcmQ1J…"
106,2019-06-29 17:25:26+00:00,36625015,"RT @Ericssenw: Pink Dot 11: “Repeal 377A” 
A sea of pink lighting up Singapore’s beautiful night sky.
Courtesy of @PinkDotSG 
#PinkDot #Pin…"
107,2019-06-29 16:47:25+00:00,1091760587938230272,RT @paoloamores: Happy Pinkdot Singapore from The Philippines and Hong Kong 🇭🇰🇵🇭 #pride #pinkdot #gay #lgbt #lgbtq #loveislove #lesbian #lo…
108,2019-06-29 16:21:28+00:00,1487562920,"Celebrating #PinkDot11 🌈 with $20 off every $100 purchase this weekend at #02-06, Ming Arcade (opp Hard Rock Cafe), 21 Cuscaden Rd, #Singapore 249720. Online use PINK20 at https://t.co/9TE0XLIICd

#malehq #PinkDot #PinkDot2019 #PrideMonth #LoveisLove #sgboy #sgboys #sgguys https://t.co/HXarqLwhs0"
109,2019-06-29 15:11:50+00:00,45295624,"This year, the traditional light-up for Pink Dot spelled out a call to repeal Section 377A of the Penal Code, which criminalises sex between men
https://t.co/ovP2cfXuIr via @ChannelNewsAsia #PinkDot #PinkDot11 #PinkDot2019 #PinkDotSG"
110,2019-06-29 15:00:56+00:00,45295624,"Pink Dot 11: “Repeal 377A” 
A sea of pink lighting up Singapore’s beautiful night sky.
Courtesy of @PinkDotSG 
#PinkDot #PinkDot11 #PinkDot2019 #PinkDotSG https://t.co/D7sLa9aMRf"
111,2019-06-29 14:49:35+00:00,132336370,"#pinkdot is now trending in #Singapore

https://t.co/979gi2anRx https://t.co/nnHiRmck1d"
112,2019-06-29 14:13:02+00:00,20357508,"Very proud of what PinkDot has done this year and how far it has come, to take a stand and call out Singapore prime minister's discrimination in the law against LGBT people. It's good. We have to take a stand. Fight.

Photo from @young_out_here:
https://t.co/ZFpMmY0gxC https://t.co/LZYTb1FNIj"
113,2019-06-29 13:29:46+00:00,56077577,"#repeal377A #lovewins #Pride #pinkdot #pinkdotsg #singapore @ PARKROYAL on Pickering Hotel, Singapore https://t.co/mcmQ1JDcgN"
114,2019-06-29 12:51:45+00:00,36093620,I got rate access to Singapore’s #PinkDot which is happening TODAY. Non-Singaporeans are not usually allowed in as part of government regulations to prevent “foreign interference.” Homosexuality is still illegal… https://t.co/cIpGGvK3JZ
115,2019-06-29 11:35:36+00:00,211825462,"RT @Tydir_: I wish I could go for PinkDot but alas, I am working this year. Nevertheless the push against discrimination, and the push for…"
116,2019-06-29 11:28:34+00:00,847529683,"Celebrating #PinkDot11 🌈 with $20 off every $100 purchase this weekend at #02-06, Ming Arcade (opp Hard Rock Cafe), 21 Cuscaden Rd, #Singapore 249720. Online use PINK20 at https://t.co/PtUmJq9Xx5

#malehq #PinkDot #PinkDot2019 #PrideMonth #LoveisLove #againstdiscrimination https://t.co/kAzzGg6lXX"
117,2019-06-29 11:22:54+00:00,20357508,"Ha. Singapore's prime minister won't decriminalize same-sex relations but his brother with whom he's having a fight with, and the brother's son &amp; his husband are at Singapore PinkDot today. Singapore's largest picnic has become a legit protest! I love it!

https://t.co/iGtZWR8z3n https://t.co/jYZ7hascXz"
118,2019-06-29 11:14:58+00:00,89120932,RT @paoloamores: Happy Pinkdot Singapore from The Philippines and Hong Kong 🇭🇰🇵🇭 #pride #pinkdot #gay #lgbt #lgbtq #loveislove #lesbian #lo…
